index,walk_10min,walk_15min,car_10min,car_15min,car_20min,car_30min,transit_10min,transit_15min,transit_20min,transit_30min
29,,,7.3,7.3,7.3,7.3,,,,
125,,,6.0,6.0,6.0,6.0,,,,
126,,,5.8,5.8,5.8,5.8,,,,
145,,,6.4,6.4,6.4,6.4,,,,
162,,,5.5,5.5,5.5,5.5,,,,
163,,,5.0,5.0,5.0,5.0,,,,
164,,,5.0,5.0,5.0,5.0,,,,
165,,,5.3,5.3,5.3,5.3,,,,
177,,,4.6,4.6,4.6,4.6,,,,27.9
197,,,5.1,5.1,5.1,5.1,,,,
200,,,5.2,5.2,5.2,5.2,,,,
201,,,5.3,5.3,5.3,5.3,,,,
202,,,5.3,5.3,5.3,5.3,,,,
203,,,4.5,4.5,4.5,4.5,,,,
204,,,5.2,5.2,5.2,5.2,,,,
205,,,7.6,7.6,7.6,7.6,,,,
218,,,5.7,5.7,5.7,5.7,,,,
222,,,6.8,6.8,6.8,6.8,,,,
235,,,4.9,4.9,4.9,4.9,,,,29.4
236,,,,14.1,14.1,14.1,,,,29.0
239,,,5.9,5.9,5.9,5.9,,,,
240,,,4.6,4.6,4.6,4.6,,,,
241,,,3.7,3.7,3.7,3.7,,,,27.2
242,,,4.7,4.7,4.7,4.7,,,,
243,,,4.5,4.5,4.5,4.5,,,,
256,,,5.3,5.3,5.3,5.3,,,,
257,,,5.3,5.3,5.3,5.3,,,,
272,,,4.5,4.5,4.5,4.5,,,,28.8
273,,,4.5,4.5,4.5,4.5,,,,26.8
274,,,4.5,4.5,4.5,4.5,,,,27.2
275,,,,,15.1,15.1,,,,24.0
279,,,4.9,4.9,4.9,4.9,,,,
280,,,5.1,5.1,5.1,5.1,,,,
281,,,4.9,4.9,4.9,4.9,,,,
300,,,6.4,6.4,6.4,6.4,,,,
302,,,7.1,7.1,7.1,7.1,,,,
310,,,4.0,4.0,4.0,4.0,,,,27.0
311,,,4.0,4.0,4.0,4.0,,,,24.5
312,,,3.8,3.8,3.8,3.8,,,,23.9
313,,,3.9,3.9,3.9,3.9,,,,21.7
314,,,3.8,3.8,3.8,3.8,,,,20.7
318,,,3.1,3.1,3.1,3.1,,,19.0,19.0
319,,,2.6,2.6,2.6,2.6,,,15.1,15.1
